class,confidence
0,0.6145552101990395
1,0.654643711548187
1,0.6866288133863445
0,0.5599239665774356
0,0.5850701280930836
1,0.6497682779284689
1,0.6657035232939144
1,0.6642305819229237
1,0.709288238251134
0,0.5449103902428867
0,0.6121319326018275
0,0.5924008714897571
0,0.5563808103004199
0,0.5219391535873295
1,0.634476695346538
0,0.5824032444113041
0,0.5367741015411748
0,0.5913316832289905
1,0.6530006431102415
0,0.5521485251609437
0,0.6104743767791201
1,0.66292255262467
0,0.5618122003515986
1,0.6321375001995355
0,0.5798025985945774
1,0.6532187028243615
1,0.7569482162876243
0,0.5672769873299551
1,0.6355714919218325
1,0.6566677324346737
1,0.7007652653650502
1,0.6485890123711368
1,0.6996614775130932
0,0.5390168273187197
1,0.6047402899878842
1,0.6531354654482301
1,0.6442904171542302
0,0.5647971188692691
1,0.6845378230891729
0,0.5723957524837354
0,0.6419146596137977
1,0.658688111335624
0,0.5931533703970745
1,0.6089956769478524
0,0.6447794750100762
0,0.6450080586634008
0,0.5602333589087438
0,0.5926626770094598
1,0.6522648047493309
1,0.6875866582310608
