class,confidence
1,0.5247530399916069
1,0.8263605532653869
0,0.8155037380552326
0,0.5409681485896841
1,0.5377994970801727
1,0.8242918387005105
1,0.8230751846943573
1,0.8237787272782786
1,0.8285728163375063
1,0.5513816957474124
1,0.5226450705882011
1,0.5360358076821584
1,0.5664221025534526
0,0.6319852144307806
1,0.648805635043006
1,0.530023647595532
0,0.5771323593897711
1,0.5329608993661397
0,0.8026917744682154
0,0.5493154074696848
0,0.5242411687416124
1,0.8270254156906041
1,0.541049306630463
0,0.8237433552155393
0,0.5315131073523977
0,0.8278722592081345
1,0.7803268084110853
0,0.5326393911665065
1,0.7734513917125222
0,0.825850548996958
1,0.805995476873372
0,0.6975078152979405
1,0.8287320429826078
1,0.558190559963065
0,0.8206694668370358
1,0.8238266343007484
0,0.8123766234112039
0,0.5174547554686069
0,0.8282346992560374
0,0.5331646716570128
0,0.5144286514385127
0,0.8211298679635759
1,0.5241186749787043
1,0.821519867056734
1,0.5103264780666712
0,0.5151923633278039
0,0.5671515792023463
0,0.5333292956551312
0,0.6747021161858037
0,0.8287826421958581
